player_id,player_name,format,matches,innings,runs,balls_faced,highest_score,average,strike_rate,not_out,fours,sixes,fifty_plus,hundreds,double_hundreds
12565,Khushdil Shah,ODI,15,12,328,334,69,32.8,98.21,2,25,10,1,0,0
12565,Khushdil Shah,T20,37,32,430,411,36,17.92,104.63,8,27,20,0,0,0
12565,Khushdil Shah,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
41113,Hasan Nawaz,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
41113,Hasan Nawaz,ODI,3,3,112,124,63,112,90.33,2,5,6,1,0,0
41113,Hasan Nawaz,T20,19,19,432,258,105,25.41,167.45,2,23,34,2,1,0
41113,Hasan Nawaz,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
12139,Abdullah Shafique,Test,22,42,1504,3405,201,38.56,44.18,3,145,20,5,5,1
12139,Abdullah Shafique,ODI,27,27,737,944,113,29.48,78.08,2,67,19,6,1,0
12139,Abdullah Shafique,T20,6,6,64,53,41,12.8,120.76,1,5,3,0,0,0
12139,Abdullah Shafique,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
37572,Tayyab Tahir,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
37572,Tayyab Tahir,ODI,11,10,181,177,38,22.63,102.26,2,18,3,0,0,0
37572,Tayyab Tahir,T20,8,7,123,104,39,20.5,118.27,1,12,3,0,0,0
37572,Tayyab Tahir,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
13239,Omair Yousuf,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
13239,Omair Yousuf,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
13239,Omair Yousuf,T20,7,7,91,83,24,18.2,109.64,2,8,3,0,0,0
13239,Omair Yousuf,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
1433121,Abdul Samad,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
1433121,Abdul Samad,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
1433121,Abdul Samad,T20,5,4,66,58,44,16.5,113.80,0,4,3,0,0,0
1433121,Abdul Samad,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
2250,Steven Smith,Test,119,212,10477,19517,239,56.03,53.69,25,1143,62,43,36,4
2250,Steven Smith,ODI,170,154,5800,6669,164,43.28,86.97,20,521,58,35,12,0
2250,Steven Smith,T20,67,55,1094,872,90,24.86,125.46,11,96,26,5,0,0
2250,Steven Smith,IPL,103,93,2485,1940,101,34.51,128.10,21,225,60,11,1,0
10182,Marnus Labuschagne,Test,58,104,4435,8583,215,46.2,51.68,8,493,12,23,11,2
10182,Marnus Labuschagne,ODI,66,58,1871,2239,124,34.65,83.57,4,154,10,12,2,0
10182,Marnus Labuschagne,T20,1,1,2,4,2,2,50.00,0,0,0,0,0,0
10182,Marnus Labuschagne,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
8497,Travis Head,Test,60,101,3963,5856,175,41.72,67.68,6,485,32,20,9,0
8497,Travis Head,ODI,76,73,2942,2774,154,43.91,106.06,6,339,72,17,7,0
8497,Travis Head,T20,41,40,1119,714,91,31.08,156.73,4,118,53,5,0,0
8497,Travis Head,IPL,38,37,1146,674,102,34.73,170.03,4,126,55,8,1,0
6635,Usman Khawaja,Test,84,152,6053,12464,232,43.55,48.57,13,645,28,27,16,1
6635,Usman Khawaja,ODI,40,39,1554,1848,104,42,84.10,2,150,13,12,2,0
6635,Usman Khawaja,T20,9,9,241,182,58,26.78,132.42,0,31,5,1,0,0
6635,Usman Khawaja,IPL,6,6,127,100,30,21.17,127.00,0,14,3,0,0,0
9456,Matthew Short,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
9456,Matthew Short,ODI,15,13,280,285,63,21.54,98.25,0,31,9,2,0,0
9456,Matthew Short,T20,14,13,293,179,66,22.54,163.69,0,29,15,1,0,0
9456,Matthew Short,IPL,6,6,117,92,36,19.5,127.18,0,15,4,0,0,0
13682,Pathum Nissanka,Test,18,31,1305,2299,187,45,56.77,2,150,5,7,4,0
13682,Pathum Nissanka,ODI,71,71,2746,3074,210,41.61,89.33,5,347,32,17,7,1
13682,Pathum Nissanka,T20,68,67,1950,1584,90,30,123.11,2,202,48,15,0,0
13682,Pathum Nissanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
15081,Pavan Rathnayake,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
15081,Pavan Rathnayake,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
15081,Pavan Rathnayake,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
15081,Pavan Rathnayake,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
11545,Oshada Fernando,Test,22,39,1104,2224,102,31.54,49.65,4,127,11,7,1,0
11545,Oshada Fernando,ODI,8,8,148,230,49,18.5,64.35,0,15,3,0,0,0
11545,Oshada Fernando,T20,7,6,128,114,78,25.6,112.29,1,11,4,1,0,0
11545,Oshada Fernando,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
13884,Pasindu Sooriyabandara,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
13884,Pasindu Sooriyabandara,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
13884,Pasindu Sooriyabandara,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
13884,Pasindu Sooriyabandara,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
