player_id,player_name,format,matches,innings,balls,runs,maidens,wickets,avg,eco,sr,bbi,bbm,4w,5w,10w
13694,Janith Liyanage,T20,3,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
13694,Janith Liyanage,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
13930,Sonal Dinusha,Test,1,2,75,29,4,3,9.67,2.32,25.0,3/22,3/29,0,0,0
13930,Sonal Dinusha,ODI,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
13930,Sonal Dinusha,T20,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
13930,Sonal Dinusha,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
18515,Tharindu Rathnayake,Test,2,4,604,389,5,9,43.22,3.86,67.11,3/102,6/298,0,0,0
18515,Tharindu Rathnayake,ODI,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
18515,Tharindu Rathnayake,T20,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
18515,Tharindu Rathnayake,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
39678,Milan Priyanath Rathnayake,Test,5,9,689,393,16,14,28.07,3.42,49.21,3/39,4/65,0,0,0
39678,Milan Priyanath Rathnayake,ODI,1,1,6,10,0,0,0.0,10,0.0,0/10,0/10,0,0,0
39678,Milan Priyanath Rathnayake,T20,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
39678,Milan Priyanath Rathnayake,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
14251,Dunith Wellalage,Test,1,2,78,35,1,0,0.0,2.69,0.0,0/17,0/35,0,0,0
14251,Dunith Wellalage,ODI,31,30,1319,1135,3,39,29.1,5.16,33.82,5/27,5/27,1,2,0
14251,Dunith Wellalage,T20,4,4,93,91,0,6,15.17,5.87,15.5,3/9,3/9,0,0,0
14251,Dunith Wellalage,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
10926,Wanindu Hasaranga,Test,4,7,674,403,8,4,100.75,3.59,168.5,4/171,4/171,1,0,0
10926,Wanindu Hasaranga,ODI,66,65,3065,2599,26,108,24.06,5.09,28.38,7/19,7/19,5,4,0
10926,Wanindu Hasaranga,T20,79,77,1734,2019,2,131,15.41,6.99,13.24,4/9,4/9,4,0,0
10926,Wanindu Hasaranga,IPL,37,37,798,1119,1,46,24.33,8.41,17.35,5/18,5/18,2,1,0
1121,Mahmudullah,Test,50,66,3423,1958,56,43,45.53,3.43,79.6,5/51,8/110,0,1,0
1121,Mahmudullah,ODI,239,153,4380,3810,14,82,46.46,5.22,53.41,3/4,3/4,0,0,0
1121,Mahmudullah,T20,141,80,950,1135,2,41,27.68,7.17,23.17,3/10,3/10,0,0,0
1121,Mahmudullah,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
11871,Mahedi Hasan,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
11871,Mahedi Hasan,ODI,11,11,528,436,2,14,31.14,4.95,37.71,4/71,4/71,1,0,0
11871,Mahedi Hasan,T20,64,62,1313,1487,4,57,26.09,6.8,23.04,4/11,4/11,2,0,0
11871,Mahedi Hasan,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
11081,Mehidy Hasan Miraz,Test,54,94,12696,6634,328,205,32.36,3.14,61.93,7/58,12/117,9,13,3
11081,Mehidy Hasan Miraz,ODI,108,105,5217,4193,35,113,37.11,4.82,46.17,4/25,4/25,5,0,0
11081,Mehidy Hasan Miraz,T20,34,31,468,667,0,18,37.06,8.55,26.0,4/12,4/12,1,0,0
11081,Mehidy Hasan Miraz,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
10038,Fayyaz Ahmed,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
10038,Fayyaz Ahmed,ODI,3,3,162,121,1,0,0.0,4.48,0.0,0/16,0/16,0,0,0
10038,Fayyaz Ahmed,T20,1,1,18,29,0,1,29.0,9.67,18.0,1/29,1/29,0,0,0
10038,Fayyaz Ahmed,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9835,Rohan Mustafa,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9835,Rohan Mustafa,ODI,82,81,3799,2843,31,86,33.06,4.49,44.17,5/25,5/25,1,1,0
9835,Rohan Mustafa,T20,57,55,1094,1272,3,60,21.2,6.98,18.23,4/18,4/18,1,0,0
9835,Rohan Mustafa,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9832,Mohammad Naveed,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9832,Mohammad Naveed,ODI,40,40,1962,1775,12,56,31.7,5.43,35.04,5/28,5/28,0,1,0
9832,Mohammad Naveed,T20,30,30,664,711,5,34,20.91,6.42,19.53,3/14,3/14,0,0,0
9832,Mohammad Naveed,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
