player_id,player_name,format,matches,innings,runs,balls_faced,highest_score,average,strike_rate,not_out,fours,sixes,fifty_plus,hundreds,double_hundreds,high_score,avg,fifties,ducks
10424,Max ODowd,T20,87,84,2309,1888.0,133.0,29.99,122.3,7,239,54,16.0,1,0.0,,,,
10424,Max ODowd,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
692,Edgar Schiferli,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
692,Edgar Schiferli,ODI,30,22,161,218.0,41.0,10.06,73.86,6,18,5,0.0,0,0.0,,,,
692,Edgar Schiferli,T20,7,3,7,16.0,5.0,3.5,43.75,1,0,0,0.0,0,0.0,,,,
692,Edgar Schiferli,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
11330,Sikander Zulfiqar,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
11330,Sikander Zulfiqar,ODI,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
11330,Sikander Zulfiqar,T20,12,9,70,71.0,18.0,8.75,98.6,1,5,0,0.0,0,0.0,,,,
11330,Sikander Zulfiqar,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
7962,Michael Swart,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
7962,Michael Swart,ODI,12,11,197,273.0,52.0,19.7,72.17,1,19,5,1.0,0,0.0,,,,
7962,Michael Swart,T20,25,25,621,537.0,89.0,27.0,115.65,2,53,16,4.0,0,0.0,,,,
7962,Michael Swart,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
3298,Eric Gouka,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
3298,Eric Gouka,ODI,3,2,19,36.0,19.0,19.0,52.78,1,2,0,0.0,0,0.0,,,,
3298,Eric Gouka,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
3298,Eric Gouka,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
3372,Glenn Blakeney,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
3372,Glenn Blakeney,ODI,2,2,72,69.0,42.0,36.0,104.35,0,8,1,0.0,0,0.0,,,,
3372,Glenn Blakeney,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
3372,Glenn Blakeney,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
662,Delyone Borden,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
662,Delyone Borden,ODI,12,11,98,195.0,24.0,14.0,50.26,4,9,0,0.0,0,0.0,,,,
662,Delyone Borden,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
662,Delyone Borden,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
861,James Celestine,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
861,James Celestine,ODI,8,8,60,135.0,20.0,7.5,44.45,0,7,2,0.0,0,0.0,,,,
861,James Celestine,T20,3,3,9,17.0,7.0,3.0,52.95,0,0,0,0.0,0,0.0,,,,
861,James Celestine,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
3373,Fiqre Crockwell,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
3373,Fiqre Crockwell,ODI,2,2,68,104.0,45.0,34.0,65.39,0,8,2,0.0,0,0.0,,,,
3373,Fiqre Crockwell,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
3373,Fiqre Crockwell,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
1755,Chris Foggo,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
1755,Chris Foggo,ODI,4,4,106,174.0,60.0,26.5,60.92,0,5,1,1.0,0,0.0,,,,
